#,apiName,apiMethod,apiPath,apiInputsFile,toBeValidated,Module,fileType,payloadJSON,expectedJSON,consentPerson,scenario,mysql
89,Validate_RCF_AdHocFee,NA,NA,Validate_RCF_AdHocFee.csv,n,Lifecycle,json,Validate_RCF_AdHocFee.json,Validate_RCF_AdHocFee.json,Naveen,y,n
90,Validate_RCF_Restructure_InterestCalcMethod,NA,NA,Validate_RCF_Restructure_InterestCalcMethod.csv,n,Lifecycle,json,Validate_RCF_Restructure_InterestCalcMethod.json,Validate_RCF_Restructure_InterestCalcMethod.json,Naveen,y,n
91,Validate_FullFeeWaiver,NA,NA,Validate_FullFeeWaiver.csv,n,Lifecycle,json,Validate_FullFeeWaiver.json,Validate_FullFeeWaiver.json,Naveen,y,n
92,Validate_PartialFeeWaiver,NA,NA,Validate_PartialFeeWaiver.csv,n,Lifecycle,json,Validate_PartialFeeWaiver.json,Validate_PartialFeeWaiver.json,Naveen,y,n
93,Validate_UNDOFeeWaiver,NA,NA,Validate_UNDOFeeWaiver.csv,n,Lifecycle,json,Validate_UNDOFeeWaiver.json,Validate_UNDOFeeWaiver.json,Naveen,y,n
94,Validate_CA_Closure,NA,NA,Validate_CA_Closure.csv,n,Lifecycle,json,Validate_CA_Closure.json,Validate_CA_Closure.json,Naveen,y,n
95,Validate_ManualInterest_Capitalisation,NA,NA,Validate_ManualInterest_Capitalisation.csv,n,Lifecycle,json,Validate_ManualInterest_Capitalisation.json,Validate_ManualInterest_Capitalisation.json,Naveen,y,n
96,Validate_Interest_Batch,NA,NA,Validate_Interest_Batch.csv,n,Lifecycle,json,Validate_Interest_Batch.json,Validate_Interest_Batch.json,Naveen,y,n
97,Validate_Task,NA,NA,Validate_Task.csv,n,Lifecycle,json,Validate_Task.json,Validate_Task.json,Naveen,y,n
98,Validate_Notes,NA,NA,Validate_Notes.csv,n,Lifecycle,json,Validate_Notes.json,Validate_Notes.json,Naveen,y,n
99,Validate_RateReset,NA,NA,Validate_RateReset.csv,n,Lifecycle,json,Validate_RateReset.json,Validate_RateReset.json,Naveen,y,n
100,Validate_Payby_Date,NA,NA,Validate_Payby_Date.csv,n,Lifecycle,json,Validate_Payby_Date.json,Validate_Payby_Date.json,Naveen,y,n
101,Validate_CA_And_Loan_Unlink,NA,NA,Validate_CA_And_Loan_Unlink.csv,n,Lifecycle,json,Validate_CA_And_Loan_Unlink.json,Validate_CA_And_Loan_Unlink.json,Naveen,y,n
102,Validate_CA_And_Loan_Link,NA,NA,Validate_CA_And_Loan_Link.csv,n,Lifecycle,json,Validate_CA_And_Loan_Link.json,Validate_CA_And_Loan_Link.json,Naveen,y,n
103,Validate_Penalty_OutstandingPrincipal,NA,NA,Validate_Penalty_OutstandingPrincipal.csv,n,Lifecycle,json,Validate_Penalty_OutstandingPrincipal.json,Validate_Penalty_OutstandingPrincipal.json,Naveen,y,n
104,Validate_ReStructure_Amount,NA,NA,Validate_ReStructure_Amount.csv,n,Lifecycle,json,Validate_ReStructure_Amount.json,Validate_ReStructure_Amount.json,Naveen,y,n
105,Validate_AccrualInterest,NA,NA,Validate_AccrualInterest.csv,n,Lifecycle,json,Validate_AccrualInterest.json,Validate_AccrualInterest.json,Naveen,y,n
106,Validate_ReStructure_InterestCalcMethod,NA,NA,Validate_ReStructure_InterestCalcMethod.csv,n,Lifecycle,json,Validate_ReStructure_InterestCalcMethod.json,Validate_ReStructure_InterestCalcMethod.json,Naveen,y,n
